block,solver,A_name,q,sigma,instance_id,K,success,success_impute,success_single,success_single_impute,eps_success_impute,best_restart_id,best_error,best_error_full,best_score,single_restart_id,single_score,single_error,single_error_full,single_d_H,best_restart_id_symbolic,best_d_H,best_score_symbolic,bq_abs,spacing_y0,interior_sep_T1,minimax_lb_E_x,digital_regime
A,newton,A3,7,0.0,331,1,0,0,0,0,0.3043807145043604,0,1.819545273627644,2.0376709815009613,0.0,0,0.0,1.819545273627644,2.0376709815009613,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,331,2,0,0,0,0,0.3043807145043604,1,1.7374069855010854,1.872191062435642,0.0,0,0.0,1.819545273627644,2.0376709815009613,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,331,4,0,0,0,0,0.3043807145043604,2,0.4263770413453289,1.4433418405197413,0.0,0,0.0,1.819545273627644,2.0376709815009613,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,331,8,0,0,0,0,0.3043807145043604,2,0.4263770413453289,1.4433418405197413,0.0,0,0.0,1.819545273627644,2.0376709815009613,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,331,16,0,0,0,0,0.3043807145043604,2,0.4263770413453289,1.4433418405197413,0.0,0,0.0,1.819545273627644,2.0376709815009613,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,331,32,0,0,0,0,0.3043807145043604,2,0.4263770413453289,1.4433418405197413,0.0,0,0.0,1.819545273627644,2.0376709815009613,0.7142857142857143,23,0.42857142857142855,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,331,64,0,1,0,0,0.3043807145043604,63,0.08888605564199255,1.6721306596826884,0.0,0,0.0,1.819545273627644,2.0376709815009613,0.7142857142857143,23,0.42857142857142855,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,332,1,0,0,0,0,0.3043807145043604,30,1.2157232681527705,2.2376619733352854,0.04671039059758186,30,0.04671039059758186,1.2157232681527705,2.2376619733352854,1.0,30,1.0,0.04671039059758186,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,332,2,0,0,0,0,0.3043807145043604,30,1.2157232681527705,2.2376619733352854,0.04671039059758186,30,0.04671039059758186,1.2157232681527705,2.2376619733352854,1.0,30,1.0,0.04671039059758186,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,332,4,0,0,0,0,0.3043807145043604,30,1.2157232681527705,2.2376619733352854,0.04671039059758186,30,0.04671039059758186,1.2157232681527705,2.2376619733352854,1.0,30,1.0,0.04671039059758186,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,332,8,0,0,0,0,0.3043807145043604,30,1.2157232681527705,2.2376619733352854,0.04671039059758186,30,0.04671039059758186,1.2157232681527705,2.2376619733352854,1.0,43,0.5714285714285714,0.05344398319721222,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,332,16,0,0,0,0,0.3043807145043604,30,1.2157232681527705,2.2376619733352854,0.04671039059758186,30,0.04671039059758186,1.2157232681527705,2.2376619733352854,1.0,43,0.5714285714285714,0.05344398319721222,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,332,32,0,0,0,0,0.3043807145043604,30,1.2157232681527705,2.2376619733352854,0.04671039059758186,30,0.04671039059758186,1.2157232681527705,2.2376619733352854,1.0,43,0.5714285714285714,0.05344398319721222,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,332,64,0,0,0,0,0.3043807145043604,58,1.205311029681881,2.2371259109241257,0.066823311150074,30,0.04671039059758186,1.2157232681527705,2.2376619733352854,1.0,43,0.5714285714285714,0.05344398319721222,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,332,1,0,0,0,0,0.3043807145043604,0,1.3454683211530862,2.1409030307952883,0.0,0,0.0,1.3454683211530862,2.1409030307952883,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,332,2,0,0,0,0,0.3043807145043604,1,1.028611550637593,1.2126692777339507,0.0,0,0.0,1.3454683211530862,2.1409030307952883,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,332,4,0,0,0,0,0.3043807145043604,2,0.3047956728424341,1.9230264535733979,0.0,0,0.0,1.3454683211530862,2.1409030307952883,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,332,8,0,1,0,0,0.3043807145043604,6,0.04470231537347013,1.7020690994226622,0.0,0,0.0,1.3454683211530862,2.1409030307952883,0.7142857142857143,0,0.7142857142857143,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,332,16,0,1,0,0,0.3043807145043604,6,0.04470231537347013,1.7020690994226622,0.0,0,0.0,1.3454683211530862,2.1409030307952883,0.7142857142857143,11,0.42857142857142855,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,332,32,0,1,0,0,0.3043807145043604,17,0.03774952384278429,0.06291401329864177,0.0,0,0.0,1.3454683211530862,2.1409030307952883,0.7142857142857143,17,0.2857142857142857,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,332,64,0,1,0,0,0.3043807145043604,17,0.03774952384278429,0.06291401329864177,0.0,0,0.0,1.3454683211530862,2.1409030307952883,0.7142857142857143,17,0.2857142857142857,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,333,1,0,0,0,0,0.3043807145043604,59,1.4360600170478512,2.2431771162823924,0.01237989217042923,59,0.01237989217042923,1.4360600170478512,2.2431771162823924,1.0,59,1.0,0.01237989217042923,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,333,2,0,0,0,0,0.3043807145043604,63,1.4135797730015365,1.4136721854579013,0.03644329681992531,59,0.01237989217042923,1.4360600170478512,2.2431771162823924,1.0,59,1.0,0.01237989217042923,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,333,4,0,0,0,0,0.3043807145043604,2,1.3391366884937892,1.3428415061314867,0.04245656728744507,59,0.01237989217042923,1.4360600170478512,2.2431771162823924,1.0,59,1.0,0.01237989217042923,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,333,8,0,0,0,0,0.3043807145043604,2,1.3391366884937892,1.3428415061314867,0.04245656728744507,59,0.01237989217042923,1.4360600170478512,2.2431771162823924,1.0,21,0.8571428571428571,0.25539374351501465,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,333,16,0,0,0,0,0.3043807145043604,2,1.3391366884937892,1.3428415061314867,0.04245656728744507,59,0.01237989217042923,1.4360600170478512,2.2431771162823924,1.0,55,0.5714285714285714,0.651329517364502,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,333,32,0,0,0,0,0.3043807145043604,2,1.3391366884937892,1.3428415061314867,0.04245656728744507,59,0.01237989217042923,1.4360600170478512,2.2431771162823924,1.0,55,0.5714285714285714,0.651329517364502,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,neural,A3,7,0.0,333,64,0,0,0,0,0.3043807145043604,2,1.3391366884937892,1.3428415061314867,0.04245656728744507,59,0.01237989217042923,1.4360600170478512,2.2431771162823924,1.0,55,0.5714285714285714,0.651329517364502,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,333,1,0,0,0,0,0.3043807145043604,0,1.2541511139766188,2.2410312649908946,0.0,0,0.0,1.2541511139766188,2.2410312649908946,1.0,0,1.0,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
A,newton,A3,7,0.0,333,2,0,0,0,0,0.3043807145043604,0,1.2541511139766188,2.2410312649908946,0.0,0,0.0,1.2541511139766188,2.2410312649908946,1.0,0,1.0,0.0,37947,2.635254433815585e-05,0.2087121511581943,0.6440057500294382,1
