block,solver,A_name,q,sigma,P_single,P_single_impute,median_single_error,median_single_d_H,eps_success_impute
B,neural,A1,4,0.001,0.15,0.2,0.995939649805909,0.75,0.46543687432210207
B,neural,A1,5,0.001,0.0,0.2,1.02451940612114,0.8,0.46543687432210207
B,neural,A1,6,0.001,0.0,0.15,0.9578863159425541,0.8333333333333334,0.46543687432210207
B,neural,A1,7,0.001,0.05,0.25,1.3671623014476841,0.7142857142857143,0.46543687432210207
B,neural,A1,8,0.001,0.0,0.15,1.3446552457328438,0.75,0.46543687432210207
B,neural,A1,9,0.001,0.0,0.1,1.2689037760440018,0.8888888888888888,0.46543687432210207
B,neural,A1,10,0.001,0.0,0.3,1.1278825906700196,0.8,0.46543687432210207
