block,solver,A_name,q,sigma,instance_id,instance_seed,restart_id,restart_seed,converged,steps,score,train_seconds,loss_obs,loss_dyn,defect_E_train,e_impute,e_impute_x,defect_E_max,defect_T_max,eps_cert,d_H,bq_abs,bq_minus1_abs,spacing_y0,interior_sep_T1,minimax_lb_T1,minimax_lb_E_x,digital_regime
B,neural,A1,4,0.001,0,38417433918076,0,38417433919102,0,1500,0.018029460683465004,0.09093674272298813,0.0016769474605098367,0.016352513805031776,0.19113996624946594,2.411415489728195,1.3533029203374312,0.1911399592234325,0.03045281387426157,0.0680945619289976,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,1,38417433920111,0,1500,0.017985673621296883,0.09093674272298813,0.0009361199918203056,0.017049552872776985,0.2074575424194336,2.408180005421738,1.3470283841390753,0.20745753599091935,0.033057163920051154,0.07391806566858779,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,2,38417433921120,0,1500,0.0039490461349487305,0.09093674272298813,1.5182013157755136e-07,0.003948894329369068,0.08450818061828613,2.404808990426096,1.3428235745236818,0.08450819183225564,0.013451940113583017,0.030079452523227863,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,3,38417433922129,0,1500,0.021256282925605774,0.09093674272298813,0.0043832468800246716,0.016873035579919815,0.1631498634815216,2.4333640142337356,1.3875024293108484,0.16314984038467858,0.02598578474209347,0.05810598113199784,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,4,38417433923138,0,1500,0.017093056812882423,0.09093674272298813,0.00021106946223881096,0.01688198745250702,0.2030431479215622,2.408088382801963,1.3462959796484728,0.20304313176857536,0.03235714565460607,0.07235277724156108,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,5,38417433924147,0,1500,0.003710889257490635,0.09093674272298813,8.259492460638285e-05,0.003628294449299574,0.08826512098312378,2.4109636912707684,1.354833398344931,0.08826510961247894,0.01405094829555739,0.03141887553720112,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,6,38417433925156,0,1500,0.014438362792134285,0.09093674272298813,0.00029270933009684086,0.014145653694868088,0.19735035300254822,2.4071650996878247,1.3450646747008248,0.19735033973170507,0.031443954430345894,0.07031081958765908,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,7,38417433926165,0,1500,0.017121275886893272,0.09093674272298813,0.0005140347057022154,0.016607241705060005,0.2118845134973526,2.4019004793853584,1.3372594797062407,0.21188449026967757,0.033763850425294166,0.07549826473309293,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,8,38417433927174,0,1500,0.01897580735385418,0.09093674272298813,0.00012060714652761817,0.018855201080441475,0.21126267313957214,2.4072080208131017,1.3452157721690692,0.21126267146756342,0.03367138390660331,0.07529150331165743,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,9,38417433928183,0,1500,0.018137872219085693,0.09093674272298813,0.0008494753856211901,0.017288396134972572,0.1966804414987564,2.4159588017412053,1.3594480556396535,0.19668042357977839,0.03133970089190399,0.0700777015888081,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,10,38417433929192,0,1500,0.017076216638088226,0.09093674272298813,0.002738561248406768,0.01433765608817339,0.16792930662631989,2.413553957203336,1.3580084439960187,0.1679292917601405,0.02674919541992915,0.0598130193023876,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,11,38417433930201,0,1500,0.020500561222434044,0.09093674272298813,0.0034049067180603743,0.0170956552028656,0.1611267626285553,2.433668944935823,1.3878380649888242,0.16112676883790955,0.02566367124660515,0.05738571345961587,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,12,38417433931210,0,1500,0.01606370508670807,0.09093674272298813,0.0024923754390329123,0.013571330346167088,0.17002016305923462,2.41057449083926,1.3534917640543063,0.17002015235825407,0.02708212749691865,0.06055747805842632,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,13,38417433932219,0,1500,0.006642722990363836,0.09093674272298813,0.0007377967122010887,0.00590492645278573,0.12044741213321686,2.4142865880405413,1.3601938833813525,0.120447402556143,0.01917712154097772,0.04288134737840169,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
B,neural,A1,4,0.001,0,38417433918076,14,38417433933228,0,1500,0.016191070899367332,0.09093674272298813,0.001242762547917664,0.01494830846786499,0.1860545128583908,2.412942959716791,1.3552730842277054,0.18605449456803666,0.029641040183535906,0.06627938077418911,1.0,21,8,0.047619047619047616,0.38095238095238093,0.19047619047619047,1.126640116127244,1
