block,solver,A_name,q,sigma,K,P_success,P_success_impute,P_success_single,P_success_single_impute,eps_success_impute
A,newton,A1,4,0.0,32,0.85,1.0,0.0,0.25,0.3043807145043604
A,newton,A1,4,0.0,64,1.0,1.0,0.0,0.25,0.3043807145043604
A,newton,A1,5,0.0,1,0.0,0.05,0.0,0.05,0.3043807145043604
A,newton,A1,5,0.0,2,0.0,0.05,0.0,0.05,0.3043807145043604
A,newton,A1,5,0.0,4,0.15,0.35,0.0,0.05,0.3043807145043604
A,newton,A1,5,0.0,8,0.15,0.55,0.0,0.05,0.3043807145043604
A,newton,A1,5,0.0,16,0.35,0.9,0.0,0.05,0.3043807145043604
A,newton,A1,5,0.0,32,0.45,0.95,0.0,0.05,0.3043807145043604
A,newton,A1,5,0.0,64,0.85,1.0,0.0,0.05,0.3043807145043604
A,newton,A1,6,0.0,1,0.0,0.1,0.0,0.1,0.3043807145043604
A,newton,A1,6,0.0,2,0.0,0.2,0.0,0.1,0.3043807145043604
A,newton,A1,6,0.0,4,0.05,0.45,0.0,0.1,0.3043807145043604
A,newton,A1,6,0.0,8,0.05,0.6,0.0,0.1,0.3043807145043604
A,newton,A1,6,0.0,16,0.1,0.8,0.0,0.1,0.3043807145043604
A,newton,A1,6,0.0,32,0.2,1.0,0.0,0.1,0.3043807145043604
A,newton,A1,6,0.0,64,0.3,1.0,0.0,0.1,0.3043807145043604
A,newton,A1,7,0.0,1,0.0,0.05,0.0,0.05,0.3043807145043604
A,newton,A1,7,0.0,2,0.0,0.25,0.0,0.05,0.3043807145043604
A,newton,A1,7,0.0,4,0.0,0.35,0.0,0.05,0.3043807145043604
A,newton,A1,7,0.0,8,0.05,0.65,0.0,0.05,0.3043807145043604
A,newton,A1,7,0.0,16,0.05,0.85,0.0,0.05,0.3043807145043604
A,newton,A1,7,0.0,32,0.05,1.0,0.0,0.05,0.3043807145043604
A,newton,A1,7,0.0,64,0.15,1.0,0.0,0.05,0.3043807145043604
A,newton,A1,8,0.0,1,0.0,0.0,0.0,0.0,0.3043807145043604
A,newton,A1,8,0.0,2,0.0,0.0,0.0,0.0,0.3043807145043604
A,newton,A1,8,0.0,4,0.0,0.0,0.0,0.0,0.3043807145043604
A,newton,A1,8,0.0,8,0.0,0.25,0.0,0.0,0.3043807145043604
A,newton,A1,8,0.0,16,0.0,0.5,0.0,0.0,0.3043807145043604
A,newton,A1,8,0.0,32,0.0,0.9,0.0,0.0,0.3043807145043604
A,newton,A1,8,0.0,64,0.0,0.95,0.0,0.0,0.3043807145043604
A,newton,A2,3,0.0,1,0.05,0.1,0.05,0.1,0.3043807145043604
A,newton,A2,3,0.0,2,0.05,0.2,0.05,0.1,0.3043807145043604
A,newton,A2,3,0.0,4,0.15,0.45,0.05,0.1,0.3043807145043604
A,newton,A2,3,0.0,8,0.3,0.65,0.05,0.1,0.3043807145043604
A,newton,A2,3,0.0,16,0.5,0.85,0.05,0.1,0.3043807145043604
A,newton,A2,3,0.0,32,0.75,0.95,0.05,0.1,0.3043807145043604
A,newton,A2,3,0.0,64,1.0,1.0,0.05,0.1,0.3043807145043604
A,newton,A2,4,0.0,1,0.0,0.15,0.0,0.15,0.3043807145043604
A,newton,A2,4,0.0,2,0.0,0.15,0.0,0.15,0.3043807145043604
A,newton,A2,4,0.0,4,0.0,0.25,0.0,0.15,0.3043807145043604
A,newton,A2,4,0.0,8,0.05,0.45,0.0,0.15,0.3043807145043604
A,newton,A2,4,0.0,16,0.2,0.75,0.0,0.15,0.3043807145043604
A,newton,A2,4,0.0,32,0.35,0.95,0.0,0.15,0.3043807145043604
A,newton,A2,4,0.0,64,0.45,1.0,0.0,0.15,0.3043807145043604
A,newton,A2,5,0.0,1,0.0,0.05,0.0,0.05,0.3043807145043604
A,newton,A2,5,0.0,2,0.0,0.15,0.0,0.05,0.3043807145043604
A,newton,A2,5,0.0,4,0.0,0.35,0.0,0.05,0.3043807145043604
A,newton,A2,5,0.0,8,0.0,0.55,0.0,0.05,0.3043807145043604
A,newton,A2,5,0.0,16,0.05,0.75,0.0,0.05,0.3043807145043604
A,newton,A2,5,0.0,32,0.1,0.95,0.0,0.05,0.3043807145043604
A,newton,A2,5,0.0,64,0.2,1.0,0.0,0.05,0.3043807145043604
A,newton,A2,6,0.0,1,0.0,0.1,0.0,0.1,0.3043807145043604
A,newton,A2,6,0.0,2,0.0,0.25,0.0,0.1,0.3043807145043604
A,newton,A2,6,0.0,4,0.0,0.45,0.0,0.1,0.3043807145043604
A,newton,A2,6,0.0,8,0.0,0.55,0.0,0.1,0.3043807145043604
A,newton,A2,6,0.0,16,0.0,0.75,0.0,0.1,0.3043807145043604
A,newton,A2,6,0.0,32,0.0,1.0,0.0,0.1,0.3043807145043604
A,newton,A2,6,0.0,64,0.05,1.0,0.0,0.1,0.3043807145043604
A,newton,A2,7,0.0,1,0.0,0.1,0.0,0.1,0.3043807145043604
A,newton,A2,7,0.0,2,0.0,0.2,0.0,0.1,0.3043807145043604
A,newton,A2,7,0.0,4,0.0,0.4,0.0,0.1,0.3043807145043604
A,newton,A2,7,0.0,8,0.0,0.7,0.0,0.1,0.3043807145043604
A,newton,A2,7,0.0,16,0.0,0.85,0.0,0.1,0.3043807145043604
A,newton,A2,7,0.0,32,0.0,1.0,0.0,0.1,0.3043807145043604
A,newton,A2,7,0.0,64,0.0,1.0,0.0,0.1,0.3043807145043604
A,newton,A2,8,0.0,1,0.0,0.0,0.0,0.0,0.3043807145043604
A,newton,A2,8,0.0,2,0.0,0.15,0.0,0.0,0.3043807145043604
A,newton,A2,8,0.0,4,0.0,0.3,0.0,0.0,0.3043807145043604
A,newton,A2,8,0.0,8,0.0,0.5,0.0,0.0,0.3043807145043604
A,newton,A2,8,0.0,16,0.0,0.8,0.0,0.0,0.3043807145043604
A,newton,A2,8,0.0,32,0.0,0.95,0.0,0.0,0.3043807145043604
A,newton,A2,8,0.0,64,0.0,0.95,0.0,0.0,0.3043807145043604
A,newton,A3,3,0.0,1,0.0,0.25,0.0,0.25,0.3043807145043604
A,newton,A3,3,0.0,2,0.0,0.4,0.0,0.25,0.3043807145043604
A,newton,A3,3,0.0,4,0.05,0.45,0.0,0.25,0.3043807145043604
A,newton,A3,3,0.0,8,0.05,0.65,0.0,0.25,0.3043807145043604
A,newton,A3,3,0.0,16,0.1,0.9,0.0,0.25,0.3043807145043604
A,newton,A3,3,0.0,32,0.35,1.0,0.0,0.25,0.3043807145043604
A,newton,A3,3,0.0,64,0.65,1.0,0.0,0.25,0.3043807145043604
A,newton,A3,4,0.0,1,0.0,0.25,0.0,0.25,0.3043807145043604
A,newton,A3,4,0.0,2,0.0,0.4,0.0,0.25,0.3043807145043604
A,newton,A3,4,0.0,4,0.0,0.5,0.0,0.25,0.3043807145043604
A,newton,A3,4,0.0,8,0.0,0.7,0.0,0.25,0.3043807145043604
